verb;transFR
размешивать\slash размешать;mélanger
разрезать\slash -;couper
разрешать\slash разрешить;résoudre
разрешаться\slash разрешиться;être résolu
рассказывать\slash рассказать;raconter
расслабляться\slash расслабить;расслабиться
расставлять\slash расставить;placer
расти;croître
ревновать;être jaloux (de)
резать\slash по-;couper
резервировать;réserver
рекламировать;faire de la publi
ремонтировать\slash от-;faire des réparat
решать\slash решить;résoudre
рисовать\slash на-;dessiner
родиться;naître
рожать\slash родить;mettre au monde
рождаться\slash родиться;naître
ругать\slash вы-;gronder
ругаться\slash вы-;jurer
садиться\slash сесть;s'asseoir
светить\slash за-;luire
светиться\slash за-;luire
сгибать\slash согнуть;courber
сердиться\slash рас-;se fâcher
сидеть;être assis
скачивать\slash скатить;faire rouler
складывать\slash сложить;ranger
скучать;s'ennuyer
следовать\slash по-;suivre
случаться\slash случиться;случиться I
слушать\slash по-;écouter
слышать\slash у-;entendre
смешивать\slash смешать;mêler
смеяться\slash за-;rire
смотреть\slash по-;regarder
снимать\slash снять;enlever
сниться\slash при-;voir en rêve
собирать\slash собрать;réunir
соблюдать\slash соблюсти;observer
советовать\slash по-;conseiller
советоваться\slash по-;consulter sur
соглашаться\slash согласиться;consentir à
соединять\slash соединить;unir
создавать\slash создать;créer
сокращать\slash сократить;raccourcir
солить\slash по-;saler
сомневаться\slash усомниться;douter de
сообщать\slash сообщить;communiquer à
соревноваться;être en émulation
состояться;avoir lieu
сохранять\slash сохранить;conserver
спасать\slash спасти;sauver
спасаться\slash спастись;se sauver
спать;dormir
спешить\slash -;être pressé
спрашивать\slash спросить;demander
спускаться\slash спуститься;dévaler
сравнивать\slash сравнить;comparer
ставить\slash по-;mettre
становиться\slash стать;devenir
стараться\slash по-;tâcher de
стирать\slash стереть;essuyer
стоить;coûter
стоять;se tenir debout
страдать\slash по-;souffrir
страховать\slash за-;assurer
стрелять\slash выстрелить;tirer
стричь\slash о-;couper
строить\slash вы-;bâtir
стучать\slash по-;frapper
сушить\slash вы-;sécher
сходить\slash сойти;descendre
считать\slash счесть;compter
съездить;aller
танцевать\slash с-;danser
терпеть\slash пере-;endurer
терять\slash по-;perdre
теряться\slash по-;se perdre
течь;couler
толкать\slash толкнуть;pousser
торговать;faire du commerce
тормозить\slash за-;freiner
торопиться\slash по-;être pressé
тошнить\slash за-;безл.
тратить\slash ис-;dépenser
требоваться\slash по-;être nécessaire
тренировать\slash на-;entraîner
трогать\slash тронуть;toucher de
трудиться\slash по-;travailler
тянуть\slash по-;tirer
убегать\slash убежать;s'enfuir
убивать\slash убить;massacrer
убирать\slash убрать;enlever
уважать;respecter
увеличивать\slash увеличить;agrandir
увеличиваться\slash увеличиться;s'agrandir
увлекаться\slash увлечься;se passionner pou
уводить\slash увести;emmener
увозить\slash увезти;emmener
увольнять\slash уволить;congédier
угадывать\slash угадать;deviner
уговаривать\slash уговорить;exhorter à
угощать\slash угостить;régaler
ударять\slash ударить;taper
удивлять\slash удивить;étonner
удивляться\slash удивиться;s'étonner (de)
удочерять\slash удочерить;adopter
уезжать\slash уехать;partir (pour)
ужинать\slash по-;souper
узнавать\slash узнать;reconnaître
указывать\slash указать;indiquer
украшать\slash украсить;orner
улетать\slash улететь;s'envoler
улучшать\slash улучшить;améliorer
улыбаться\slash улыбнуться;sourire
уменьшать\slash уменьшить;diminuer
уменьшаться\slash уменьшиться;diminuer
уметь\slash с-;savoir
