verb;usage;transFr;transEn;yellow
прощаться\slash проститься;;faire ses adieux (à);take leave (of);0
прыгать\slash по-;;sauter;jump;1
прятать\slash с-;;cacher;hide;0
путешествовать;;voyager;travel;1
работать;;travailler;work;0
радоваться\slash об-;;se réjouir de;rejoice;0
разбивать\slash разбить;;casser;break (to pieces);0
разбиваться\slash разбиться;;se casser;break;0
развешивать\slash развесить;;peser;weigh (out);0
разводиться\slash развестись;;divorcer;get / be divorced (from);0
разворачивать\slash развернуть;;разворотить;unfold;0
развязывать\slash развязать;;défaire;untie;0
разговаривать;;causer avec;talk (to, with);1
раздавать\slash раздать;;distribuer (parmi);distribute (to, among);0
раздеваться\slash раздеться;;se déshabiller;undress;0
различать\slash различить;;distinguer;distinguish;0
различаться\slash различить;;différer en;differ (in);0
разменивать\slash разменять;;changer;change (for);0
размешивать\slash размешать;;mélanger;stir (up);0
разрезать\slash -;;couper;cut (up);0
разрешать\slash разрешить;;résoudre;permit;0
разрешаться\slash разрешиться;;être résolu;be (re)solved;0
рассказывать\slash рассказать;;raconter;tell;0
расслабляться\slash расслабить;;расслабиться;relax;0
расставлять\slash расставить;;placer;place;0
расти;;croître;grow;1
ревновать;;être jaloux (de);be jealous (of);0
резать\slash по-;;couper;cut (up);0
резервировать;;réserver;reserve;0
рекламировать;;faire de la publicité à;advertise;0
ремонтировать\slash от-;;faire des réparations de;repair;0
решать\slash решить;;résoudre;solve;0
рисовать\slash на-;;dessiner;draw;0
родиться;;naître;be born;0
рожать\slash родить;;mettre au monde;give birth (to);0
рождаться\slash родиться;;naître;be born;0
ругать\slash вы-;;gronder;abuse;0
ругаться\slash вы-;;jurer;swear;0
садиться\slash сесть;;s'asseoir;sit down;0
светить\slash за-;;luire;shine;0
светиться\slash за-;;luire;shine;0
сгибать\slash согнуть;;courber;bend;0
сердиться\slash рас-;;se fâcher;be(come) angry (with);0
сидеть;;être assis;sit;0
скачивать\slash скатить;;faire rouler;download;0
складывать\slash сложить;;ranger;put together / up / down;0
скучать;;s'ennuyer;be bored;1
следовать\slash по-;;suivre;follow;1
случаться\slash случиться;;случиться I;happen;0
слушать\slash по-;;écouter;listen (to);0
слышать\slash у-;;entendre;hear;0
смешивать\slash смешать;;mêler;mix (up);0
смеяться\slash за-;;rire;begin to laugh;0
смотреть\slash по-;;regarder;look;0
снимать\slash снять;;enlever;take away;0
сниться\slash при-;;voir en rêve;dream;0
собирать\slash собрать;;réunir;gather;0
соблюдать\slash соблюсти;;observer;observe;0
советовать\slash по-;;conseiller;advise;1
советоваться\slash по-;;consulter sur;consult;0
соглашаться\slash согласиться;;consentir à;agree (to);0
соединять\slash соединить;;unir;unite;0
создавать\slash создать;;créer;create;0
сокращать\slash сократить;;raccourcir;shorten;0
солить\slash по-;;saler;salt;0
сомневаться\slash усомниться;;douter de;doubt;0
сообщать\slash сообщить;;communiquer à;communicate (to);0
соревноваться;;être en émulation;compete (with in);0
состояться;;avoir lieu;take place;0
сохранять\slash сохранить;;conserver;keep;0
спасать\slash спасти;;sauver;save;0
спасаться\slash спастись;;se sauver;save oneself;0
спать;;dormir;be asleep;0
спешить\slash -;;être pressé;dismount;1
спрашивать\slash спросить;;demander;ask;0
спускаться\slash спуститься;;dévaler;go down;0
сравнивать\slash сравнить;;comparer;compare (with);0
ставить\slash по-;;mettre;put;0
становиться\slash стать;;devenir;stand;0
стараться\slash по-;;tâcher de;endeavo(u)r;0
стирать\slash стереть;;essuyer;wipe / rub off / out;0
стоить;;coûter;cost;1
стоять;;se tenir debout;stand;1
