verb;usage;transFr;transEn;yellow
наносить\slash нанести;;déposer, causer;pile up, cause;0
относиться\slash отнестись;;se comporter;treat, concern;0
сносить\slash снести;;user;fetch down;0
доносить\slash донести;;apporter;bring to;0
изнашиваться\slash износиться;;être usé;wear out;0
печатать\slash на-;;imprimer;print;0
распространяться\slash распространиться;;se répandre;spread;0
распространять\slash распространить;;diffuser;spread;0
размышлять\slash размыслить;;réfléchir, méditer;think over, ponder;1
мыслить;;raisonner;think (of, about);0
заслуживать\slash заслужить;;mériter;deserve, merit;0
обслуживать\slash обслужить;;entretenir, desservir (réseaux);serve;0
атаковать;;attaquer;attack;0
бросаться\slash броситься;;se précipiter;dash;0
отре́зать\slash отреза́ть;;sectionner qqch;cut off, snip off;0
наре́зать\slash нареза́ть;;découper;cut (into pieces);0
подлежать;;faire l’objet de;be liable (to);1
наслаждаться\slash насладиться;;savourer;enjoy;0
формироваться\slash с-;;se former;shape;0
формировать\slash с-;;former;form;0
беседовать\slash по-;;causer;converse (with);1
повторяться\slash повториться;;se répéter;repeat (oneself);0
отрицать;;nier;deny;0
прятаться\slash с-;;se cacher;hide;0
объясняться\slash объясниться;;s'expliquer;explain oneself;0
выяснять\slash выяснить;;éclaircir;clear up;0
пояснять\slash пояснить;;expliquer;explain;0
догадываться\slash догадаться;;deviner;guess;0
обвинять\slash обвинить;;accuser (de);accuse (of);0
командовать;;commander;command;0
жалеть\slash по-;;plaindre;pity;1
сожалеть;;regretter;pity (smb.);1
удалять\slash удалить;;retirer;move off;0
жалить\slash у-;;piquer;sting;0
ранить\slash по-;;blesser;wound;0
предлагаться\slash предложиться;;être proposé;be proposed;0
вкладывать\slash вложить;;mettre, contribuer;put in, contribute;0
излагать\slash изложить;;exposer;state;0
откладывать\slash отложить;;mettre de côté;put / set aside;0
прилагать\slash приложить;;appliquer;apply (to);0
укладывать\slash уложить;;coucher;lay;0
накладывать\slash наложить;;appliquer qqch, infliger (sanctions);lay (on);0
закладывать\slash заложить;;mettre (dans / de côté), trahir;put (in / away), betray;0
сохраняться\slash сохраниться;;se conserver;remain;0
предохраняться\slash предохраниться;;se protéger;protect oneself;0
возглавлять\slash возглавить;;être à la tête;be at the head;0
возрастать\slash возрасти;;augmenter;grow;1
нарастать\slash нарасти;;accroître;grow (on);1
планироваться\slash спланировать;;être planifié;to be planned;0
раздражать\slash раздражить;;irriter;irritate;0
сниться\slash при-;;rêver;dream;0
мучить\slash за-;;tourmenter;torment;0
мучиться\slash по-;;souffrir;agonize, suffer;0
радоваться\slash об-;;se réjouir;rejoice;0
радовать\slash об-;;réjouir;gladden;0
объединять\slash объединить;;unifier;unite;0
присоединяться\slash присоединиться;;se joindre à;join;0
разъединять\slash разъединить;;séparer, déconnecter;separate, disconnect;0
подвергаться\slash подвергнуться;;subir;undergo;0
подвергать\slash подвергнуть;;faire subir à;subject (to);0
охватывать\slash охватить;;englober;include, cover;0
захватывать\slash захватить;;capturer;capture;0
претендовать;;prétendre à;(lay) claim (to);1
покончить;;mettre fin à;put and end to;0
оканчивать\slash окончить;;finir;finish;0
крутить\slash по-;;tordre, tortiller;turn, twist;0
крутиться\slash по-;;tourner, pivoter;turn, spin;0
выкручивать\slash выкрутить;;tordre, dévisser;twist;0
прислушиваться\slash прислушаться;;tenir compte;heed;0
слушаться\slash по-;;obéir à;obey;0
выслушивать\slash выслушать;;écouter;listen (to);0
предусматривать\slash предусмотреть;;envisager;envisage;0
заглядывать\slash заглянуть;;regarder quelque part;glance (at);1
взглядывать\slash взглянуть;;regarder qqch, qqun;look (at);1
стесняться\slash по-;;être embarassé;feel embarrased;0
сверкать\slash сверкнуть;;étinceler;sparkle;1
зафиксировать;;fixer;fix;0
чувствоваться\slash по-;;ressentir;be felt;0
предчувствовать;;pressentir;have a presentiment/ foreboding (of / about);0
уничтожать\slash уничтожить;;faire l’objet de;annihilate;0
ознакомляться\slash ознакомиться;;prendre connaissance;get to know;0
знакомить\slash по-;;présenter à;introduce (to);0
рваться\slash по-;;se déchirer, avoir hâte de;break, strive for;0
рвать\slash по-;;déchirer;tear;0
разрывать\slash разорвать;;mettre en pièces;rend;0
