verb;usage;transFr;transEn;yellow
отводить\slash отвести;;mener;lead;0
вылетать\slash вылететь;;s'envoler;fly out;1
наливать\slash налить;;verser;pour (out);0
вырастать\slash вырасти;;grandir;grow;1
уставать\slash устать;;se fatiguer;get tired (with);1
различаться\slash различить;;différer en;differ (in);0
диктовать\slash продиктовать;;dicter;dictate;0
запирать\slash запереть;;fermer;lock;0
уносить\slash унести;;emporter;take away;0
исправлять\slash исправить;;corriger;correct;0
вынимать\slash вынуть;;tirer;take out;0
уменьшать\slash уменьшить;;diminuer;diminish;0
зарегистрировать\slash зарегистрироваться;;se faire inscrire;be registered;0
весить;;peser;weigh;1
улетать\slash улететь;;s'envoler;fly (away);1
подъезжать\slash подъехать;;arriver;drive / ride / draw / pull up;1
опаздывать\slash опоздать;;être en retard;be late (for);1
выписывать\slash выписать;;extraire;extract;0
поправлять\slash поправить;;réparer;repair;0
фотографировать\slash сфотографировать;;photographier;photograph;0
просыпать\slash проспать;;dormir;sleep (for some time);0
переезжать\slash переехать;;passer;cross;1
жарить\slash изжарить;;rôtir;roast;0
прилетать\slash прилететь;;arriver;arrive (by air);1
арендовать;;louer;rent;0
соревноваться;;être en émulation;compete (with in);0
въезжать\slash въехать;;entrer;enter;1
кашлять\slash прокашлять;;tousser;cough;1
замерзать\slash замерзнуть;;se geler;freeze;1
пересказывать\slash пересказать;;raconter;retell;0
разводиться\slash развестись;;divorcer;get / be divorced (from);0
выкидывать\slash выкинуть;;jeter;throw out / away;0
заворачивать\slash завернуть;;envelopper;wrap up;0
приземляться\slash приземлиться;;atterrir;land;0
умножать\slash умножить;;augmenter;increase;0
отвозить\slash отвезти;;porter;take;0
переспрашивать\slash переспросить;;prier de répéter;ask again;0
упаковывать\slash упаковать;;emballer;pack (up);0
солить\slash посолить;;saler;salt;0
паковать\slash упаковать;;emballer;pack;0
отгадывать\slash отгадать;;deviner;guess;0
резервировать;;réserver;reserve;0
парковать\slash припарковать;;parquer;park;0
хватать\slash хватить;;saisir;snatch;0
