verb,transFR
пороть\slash рас-,fesser
локализовать,localiser
заражать\slash заразить,communiquer à
злить\slash обо-,fâcher
активировать,activer
реализовываться\slash реализовать,réaliser
монтировать\slash с-,monter
разочаровывать\slash разочаровать,décevoir
выкупать\slash выкупаться,racheter
нагружать\slash нагрузить,charger
увольняться\slash уволиться,démissionner
взламывать\slash взломать,forcer
жалить\slash у-,piquer
заваривать\slash заварить,faire
встряхивать\slash встряхнуть,secouer
гармонировать,s'harmoniser
зачислять\slash зачислить,nommer
флиртовать,flirter
оповещать\slash оповестить,informer
охрипнуть,être enroué
запаздывать\slash запоздать,être en retard
преобразовывать\slash преобразовать,réformer
расчесывать\slash расчесать,démêler
краситься\slash вы-,se farder
нервировать,énerver
предохранять\slash предохраняться,protéger (contre
растворять\slash растворить,ouvrir
встраивать\slash встроить,encastrer
фокусировать\slash с-,focaliser
взглядывать\slash взглянуть,regarder
ржаветь\slash за-,se rouiller
бастовать,faire grève
удваивать\slash удвоить,doubler
пылиться\slash напылить,se couvrir de pou
совокупляться\slash совокупиться,s'accoupler
коррелировать,corréler
приспосабливать\slash приспособить,adapter
выкручивать\slash выкрутить,dévisser
разглашать\slash разгласить,divulguer
стелить,étendre
разъединять\slash разъединить,séparer
бомбардировать,bombarder
опознавать\slash опознать,identifier
изнашиваться\slash износиться,être usé
наряжать\slash нарядить,habiller
обосраться,testпомечать\slash пометить,marquer
наедаться\slash наесться,se lester
укорачивать\slash укоротить,raccourcir
архивировать,testподворачивать\slash подвернуть,visser
залогиниться,test
